NAME,2019_population,STATE,COUNTY,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values,GEO_ID,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy
"Durham County, North Carolina",321488,37,63,316739,311640,306212,300952,294460,288133,279641,273392,268454,269706,262715,256500,246896,232573,248900,233300,227200,194800,195200,181900,179000,176600,181100,177400,183500,180900,174400,170200,159900,37063,740672748.0,30797770.0,36.0365885,-78.8779193,328470.5526,353638.7853,376512.2326,397495.033,415313.9276,0.07662249325177405,25168.232699999993,0.3823100703865023,0.5565978736710444,0.17428780328454213
"Williamson County, Tennessee",238412,47,187,231729,226257,219107,211672,205226,198901,192911,188560,184035,176838,171452,166128,160781,152604,488600,462000,451400,427800,379900,352000,330800,350400,318800,324500,343300,336400,340200,314100,267700,47187,1508925443.0,3028823.0,35.894972,-86.896958,238874.2386,264368.8889,287850.6582,309746.1853,330131.309,0.10672833725988905,25494.65030000001,0.5622919451652644,0.8251774374299589,0.2628854922646945
"Benton County, Arkansas",279141,5,7,272608,266300,258291,249672,242321,237297,232268,227556,222894,225504,209791,203107,196045,184692,206300,196700,180500,170200,166200,157200,143500,143400,148200,150200,153400,163700,163200,145400,140100,5007,2194644508.0,94662461.0,36.3378246,-94.2561871,278734.2063,304728.4072,329238.4747,353026.0669,375525.0474,0.09325802256226345,25994.200899999996,0.5113865245922942,0.4725196288365453,-0.038866895755748865
"Hamilton County, Indiana",338011,18,57,330086,323747,316373,309697,302623,296693,289495,282810,276390,279287,269785,261661,250979,239043,291500,280100,266500,244100,235500,233100,225000,212600,210000,217300,218100,214500,206700,200500,193900,18057,1021147705.0,21158963.0,40.0498703,-86.0205856,339133.4456,365639.1126,389324.3867,410982.8229,430123.8505,0.07815704214341287,26505.667000000016,0.4140175616939212,0.5033522434244456,0.08933468173052445
"Douglas County, Colorado",351154,8,35,342776,335299,328632,322387,314638,305963,298215,292167,287003,288225,280621,272117,263621,248950,523200,508700,468900,445400,398800,366400,343800,329200,323300,333200,340000,347200,337700,335500,327600,8035,2176232357.0,6789381.0,39.3264348,-104.9261993,355252.2578,384365.7814,410016.003,432720.477,452076.3375,0.08195169196191371,29113.523599999957,0.41054026913034747,0.5970695970695971,0.1865293279392496
"St. Johns County, Florida",264672,12,109,254261,243812,235087,226640,217919,209647,202188,195823,191323,187436,181540,175446,169224,159235,338700,324000,297600,296100,273000,248800,238400,225700,235900,255900,266300,321000,332900,307900,271600,12109,1555689678.0,572050772.0,29.8905926,-81.3839139,260108.4267,292074.2931,321142.521,347463.2137,370903.3645,0.12289438987252925,31965.8664,0.6621471410179923,0.24705449189985274,-0.4150926491181396
"Larimer County, Colorado",356899,8,69,350518,343976,339993,333577,324122,315988,310487,305525,300637,298382,292825,287574,276253,264807,420100,398300,359800,339900,298100,269700,260100,243600,241500,247600,248200,246500,240100,244000,230900,8069,6723613486.0,98295250.0,40.6630912,-105.4821309,366506.7677,398509.49,427997.2243,454200.0608,478258.6223,0.08731823016756796,32002.722299999965,0.3477702628706945,0.819402338674751,0.47163207580405647
"Manatee County, Florida",403253,12,81,394855,385571,375888,363369,351746,342106,333895,327142,323435,318361,315766,315108,313298,300828,271600,254100,233900,215700,194000,178700,160400,156900,155400,165600,188500,228200,238100,244000,209400,12081,1924182235.0,387844764.0,27.481386,-82.3657835,397417.1104,429978.3965,458854.8591,484356.22,505992.3482,0.0819322702719746,32561.28609999997,0.34047695028388314,0.29703915950334286,-0.043437790780540275
"Forsyth County, Georgia",244252,13,117,236612,227967,221009,212438,204302,195405,187928,181840,176738,174520,168060,158914,150968,139501,363700,351900,349500,323100,299200,276800,253100,249400,252400,262900,276500,284300,284400,270100,247400,13117,580210822.0,59946531.0,34.225143,-84.1273355,248130.1653,282262.7899,314254.2976,344458.7354,372870.6286,0.1375593513941853,34132.62459999998,0.7508978430262149,0.4700889248181083,-0.28080891820810655
"Rutherford County, Tennessee",332285,47,149,324890,317157,308251,298612,288906,281029,274454,268921,263740,257048,249270,241462,228829,212434,259000,234300,216600,178400,168600,159500,159200,158800,158400,154200,161700,164700,156800,146800,140100,47149,1604145428.0,12143221.0,35.8433688,-86.4172127,334351.4254,368685.1378,401182.6702,431660.0217,460853.275,0.10268750120901987,34333.71240000002,0.5641799335322971,0.8486795146324054,0.2844995811001083
"Charleston County, South Carolina",411406,45,19,405905,401438,396484,389262,381015,372803,365162,357704,351482,355276,348046,342973,331917,317770,342500,339900,330300,286000,278600,249700,232100,231800,227800,242400,244300,265100,244200,229800,199600,45019,2372659352.0,1144534759.0,32.8004582,-79.94248,426467.9839,461023.2544,492456.8974,520605.4512,544184.1848,0.08102664632405947,34555.270499999984,0.2946659533624949,0.7159318637274549,0.42126591036496
"Horry County, South Carolina",354081,45,51,344147,333268,322342,309199,298832,289650,282285,276340,270430,263868,257380,249925,238493,224487,202800,187000,176400,175500,170900,157000,151500,154100,162500,161300,166800,179400,181800,157400,135100,45051,2936777435.0,313664031.0,33.9092694,-78.9766749,347521.3144,383388.3254,415214.7865,442946.3231,465781.99,0.10320808973091292,35867.011,0.5772895535153483,0.5011102886750555,-0.0761792648402928
"Ada County, Idaho",481587,16,1,469966,456849,444028,434211,426236,416464,409061,400842,393531,384656,380920,373406,359035,336193,334300,296800,256400,232500,218900,197800,180900,168500,173400,192900,197700,228100,235100,213100,167500,16001,2726158067.0,20424656.0,43.4478606,-116.244456,475310.3038,512685.9142,545851.8914,575845.8851,601759.1734,0.07863412617229276,37375.610400000005,0.43247182422001645,0.9958208955223881,0.5633490713023717
"Hays County, Texas",230191,48,209,222631,214485,204470,194739,185025,176026,168990,164050,158312,155545,149476,141480,130325,115030,268500,246900,234400,222500,203900,183400,191400,178900,162300,178500,172600,170200,174600,161800,149400,48209,1755954943.0,5037790.0,30.0612247,-98.0292673,234179.747,274464.6051,313492.0981,350728.3235,387524.1636,0.17202537203185203,40284.85809999998,1.0011388333478224,0.7971887550200804,-0.20395007832774203
"Orleans Parish, Louisiana",390144,22,71,391006,393292,391495,389617,384320,378715,369250,360740,347858,354850,311853,239124,223388,437186,242900,242900,227800,219700,216800,192000,183100,178200,185400,176200,192600,194300,191000,208500,133700,22071,438803381.0,468240430.0,30.0686361,-89.9390074,441596.6537,490659.7911,536539.837,579417.2613,618051.3562,0.11110396102170451,49063.13739999995,-0.10760179877672203,0.8167539267015707,0.9243557254782927
"Osceola County, Florida",375751,12,97,367990,352180,336015,323993,310211,298504,287416,276163,269837,270618,263676,255815,244045,229134,231500,218900,197900,184900,160700,138200,134800,113000,118500,129900,163000,207500,235300,235300,186900,12097,3438086444.0,462191583.0,28.0590267,-81.1393116,376725.6872,428365.0357,477096.3639,523842.4269,567896.6936,0.13707413710970337,51639.34850000002,0.6398744839264361,0.2386302835741038,-0.4012442003523323
"Loudoun County, Virginia",413538,51,107,406850,398080,385945,375629,363050,349679,336898,325405,315134,301171,289995,278797,268817,254612,556600,533500,508800,482700,477700,474600,438300,428500,426400,447100,442600,488700,544400,558800,519200,51107,1335297272.0,14445102.0,39.0811303,-77.6388572,430458.7058,482144.7388,530797.8709,577419.2933,621308.1615,0.12007198902840728,51686.032999999996,0.6241889620284983,0.07203389830508475,-0.5521550637234135
