NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Flathead County, Montana",103806,102106,100000,98082,96165,94924,93068,91633,91301,90901,89624,88473,86844,85314,82027,306500,320400,270500,247800,246600,229600,233800,231400,220600,227300,234800,250900,254200,204300,183000
"DuPage County, Illinois",922921,928589,930128,929368,933736,932708,932126,927987,923222,918764,932541,930528,929192,932670,913781,316600,317800,308800,300000,293500,279200,271300,274200,277700,297700,309100,334300,325400,318900,295500
"Calcasieu Parish, Louisiana",203436,203112,202445,200601,198788,197204,195296,194493,194092,193230,187554,185618,184512,184524,180709,166200,162400,165900,146800,140600,116100,114900,120400,123400,119000,115500,112400,108300,90500,85700
"Fresno County, California",999101,994400,989255,979915,974861,965974,955272,947895,942904,933248,915267,909153,899348,891756,858948,288300,274400,248700,238100,220100,204700,185200,174200,184300,212500,221700,261900,296300,301400,251000
"Houston County, Alabama",105882,104722,104346,104056,104173,104193,103668,103402,102369,101888,100085,98488,97171,95660,93101,155600,132700,138800,126800,131000,117100,119900,123800,123600,125300,120100,118500,113800,102700,95100
"Paulding County, Georgia",168667,164044,159445,155825,152238,148987,146950,144800,143542,142741,136655,133135,127906,121530,111654,209400,190100,170400,158800,147800,140300,124200,123300,130000,138800,154400,157000,146900,147300,141000
"Frederick County, Virginia",89313,88355,86484,84421,83199,82377,81319,80317,79666,78511,74972,73898,72880,71187,68200,264100,265300,243200,243600,247500,229000,222300,215000,218700,240900,241500,267700,293700,257100,250000
"Saratoga County, New York",229863,230163,229869,227053,226249,224921,223865,222133,220882,219960,220069,217191,215852,215473,210554,273300,267200,258600,250400,241600,238000,230600,228200,226100,236200,235300,225200,209700,201000,180300
"Cache County, Utah",128289,127068,124438,122753,120783,118343,116909,115520,114699,113417,115269,112616,108887,98662,94697,279600,258500,218400,216000,203400,192900,186200,189600,183900,190200,190300,196400,165500,159000,151000
"Hampden County, Massachusetts",466372,470406,469818,468467,470690,468161,467319,465923,463783,463678,471081,460840,457908,460520,447309,224200,217600,208800,198700,197900,198900,193600,194200,200200,201400,200200,209500,200400,190500,177200
"Jefferson Parish, Louisiana",432493,434051,439036,436523,436275,435716,434767,433676,432640,432449,443342,436181,423520,431361,448578,200200,191900,184500,173900,181400,168800,170900,169600,172000,172600,178600,182200,180000,162200,141800
"Rockland County, New York",325789,325695,328868,326780,326037,323866,320903,317757,315158,312183,300173,298545,296483,294965,285088,468800,454500,439100,431600,430600,414500,413400,415300,426800,448300,463300,492000,503100,502300,472200
"Kenton County, Kentucky",166998,166051,165399,164945,165012,163929,163145,161711,160406,159876,158729,157629,156675,154911,151799,176700,162300,159200,153000,148000,149700,140700,144000,145400,145400,148100,151600,147900,140900,133800
"Aiken County, South Carolina",170872,169401,168179,167458,165829,164753,164176,162812,160682,160565,156017,154071,152307,151800,148084,155700,154000,144600,148100,141400,136500,120300,126100,125300,130700,123000,116700,113000,107200,103600
"Santa Fe County, New Mexico",150358,150056,148750,148651,148686,148164,147423,146375,145648,144606,147532,143937,142955,142407,137758,314700,296100,292600,278000,286200,269300,263900,270200,292300,284800,295000,319700,302700,277900,260900
"Roanoke County, Virginia",94186,94073,93730,94031,94409,93785,93524,92901,92740,92389,91011,90867,90420,90482,85900,215500,196400,196700,205400,191200,190100,182200,181800,195900,209100,193200,191100,183200,164400,152300
"Chester County, Pennsylvania",524989,522046,519293,516312,515939,512784,509468,506575,503897,499797,498894,491489,486345,482112,458141,379300,367800,355000,347700,332900,325500,321100,322900,321500,330500,330900,340800,343300,328400,295600
"Porter County, Indiana",170389,169594,168404,167791,167688,167076,166557,165682,165537,164592,163598,162181,160578,160105,154188,206900,189500,189800,177400,174700,165200,166200,161200,161900,168300,166100,174300,163300,148500,149500
"Outagamie County, Wisconsin",187885,187365,186059,184526,183245,182006,180345,178816,177913,176912,177155,174993,173703,172734,167679,182500,176000,168600,162100,157700,156900,155400,155000,155100,159000,153900,158500,151500,145900,138800
"Eau Claire County, Wisconsin",104646,104534,103671,102965,102105,101564,101438,100677,99879,98928,99409,98286,97406,94741,89003,193100,176800,170400,157900,152100,151200,151600,150000,148000,146900,154000,152100,141200,142500,133700
"Philadelphia County, Pennsylvania",1584064,1584138,1580863,1567872,1567442,1560297,1553165,1547607,1536471,1528306,1547297,1447395,1449634,1448394,1406415,183200,167700,166200,154000,150700,148700,136800,142300,142000,142800,150000,139100,136400,115500,100200
"San Joaquin County, California",762148,752660,745424,733709,726106,715597,704379,702612,696214,687744,674860,672388,670990,673170,646259,385600,366000,349200,316000,278400,250800,208900,190600,196800,213400,221600,311300,399500,427000,379600
"Hinds County, Mississippi",231840,237085,239497,241229,242891,243729,244899,248643,248184,245629,247631,247650,249157,249012,239901,127900,126700,126100,105600,118600,107900,94200,109300,103600,115200,112100,113200,99000,97000,94100
"Jefferson County, Missouri",225081,224347,223810,224226,224124,222716,221396,220209,219480,219084,219046,217679,216076,216469,211639,166600,168000,162500,156700,155000,145700,147800,155200,148300,156400,154500,158500,152500,150900,138700
"Floyd County, Indiana",78522,77781,77071,76990,76778,76179,76244,75283,74989,74679,74426,73780,73064,72570,70932,187900,174600,170700,164900,159900,160300,155200,155300,148900,151200,142500,160900,148700,142100,131400
"Benton County, Oregon",93053,92101,90951,89385,87572,86316,86591,86430,85928,85575,82605,81859,81428,79061,74075,389000,356600,351100,312400,275800,265800,276300,275500,266700,255900,276900,282300,248200,243000,212500
"Norfolk County, Massachusetts",706775,705388,700322,697181,696023,692254,687802,681845,675436,672376,666303,659909,654909,654753,636632,514900,496600,473400,446100,429200,413000,395000,386400,387600,392000,389900,416500,421000,434300,428600
"Hampshire County, Massachusetts",160830,161355,161834,161816,161292,160939,159596,159795,157822,158094,156044,154983,153147,153471,135676,291300,291800,273200,288700,281700,259000,256800,257300,265000,266500,268400,261500,253300,252400,223000
"Lafourche Parish, Louisiana",97614,98115,98426,98305,98325,98020,97141,97029,96666,96328,93682,92572,92713,93554,90543,159700,155000,156400,153700,152400,131400,134600,122700,135500,130500,111400,122800,101000,102100,96100
"White County, Arkansas",78753,78727,79016,79263,79161,78592,78483,78493,78167,77350,76338,74845,73441,72560,67705,123900,123300,118400,117300,104900,131200,103600,109000,101600,87100,99500,96700,91200,88800,81500
"Chittenden County, Vermont",163774,164572,162372,161531,161382,160531,159515,158504,157491,156705,152313,152782,151826,150069,142216,323300,301200,293800,292900,282800,269300,273900,267100,267900,271800,259900,267400,251300,238500,223900
"Sebastian County, Arkansas",127827,127753,128107,127793,127780,126776,127342,127304,127127,125920,123597,122274,121766,120322,116426,139500,140000,124700,111900,117100,115600,127600,110700,110300,110000,111800,112900,108900,93400,89600
"Olmsted County, Minnesota",158293,156277,154930,153102,151436,150287,149226,147066,145769,144509,143962,141360,139747,137521,132116,241700,229200,224900,192800,182400,174500,172400,168400,169600,171800,176200,182300,172400,168800,164100
"Fairbanks North Star Borough, Alaska",96849,98971,99703,100605,99631,99357,100436,100272,99192,98314,98660,97970,97484,86754,83656,259800,259500,239000,226900,229300,237400,218200,214500,205900,212200,213300,218100,213500,182700,171700
"Sarasota County, Florida",433742,426718,419119,412569,405549,396962,390429,386147,382213,379874,369765,372057,372073,369535,359783,274800,261400,253000,235600,217500,186600,172600,162600,163800,179500,198300,243300,248400,287000,235200
"Passaic County, New Jersey",501826,503310,512607,507945,510916,508856,505672,502885,502007,501860,491778,490948,492115,497093,487756,360100,351500,334100,339900,330800,332800,331900,331400,349100,365200,373100,385500,398800,406300,362500
"Elmore County, Alabama",81209,81887,81677,81799,81468,80977,80902,80629,80162,79549,79233,78106,77525,75688,68057,176100,166300,158500,171000,159800,150300,142000,128200,148900,147000,149400,140100,139100,118100,109900
"Dakota County, Minnesota",429021,425423,421751,417486,414686,412529,408509,405088,402006,399100,396500,392755,390478,388001,381267,291000,279300,266000,248700,237000,225000,218800,207100,216600,233800,236900,250000,250700,247900,241800
"St. Louis city, Missouri",300576,302838,308626,311404,315685,317419,318416,318172,318069,319156,356587,354361,350759,347181,333730,150700,154800,141400,125800,130800,113800,108100,119400,120500,120900,121300,128000,128300,116700,103300
"Weber County, Utah",260213,256359,251769,247560,243645,240475,238519,236640,234420,232228,231834,227487,221846,213247,207711,271400,245500,221000,189400,172200,171400,168000,162900,168900,179000,174900,172600,162400,145400,137100
"Wicomico County, Maryland",103609,103195,102923,102577,102370,101539,100896,100647,99190,98843,94222,94046,93600,91987,87334,195100,173700,167400,173700,176000,174400,166000,173000,175100,192000,198400,205200,202100,167400,159100
"Kern County, California",900202,896764,893119,884788,882176,874589,864124,856158,851710,842207,807407,800458,790710,780117,724206,235800,226400,205700,204200,197100,183100,161000,150200,155900,164200,177800,222400,256800,255100,210700
"Whatcom County, Washington",229247,225685,221404,216800,212284,208351,206353,205262,203663,201628,200434,196529,192999,185953,178425,398300,362500,355500,313500,293700,273500,278600,255500,270900,284100,296600,308000,305500,281000,248400
"Milwaukee County, Wisconsin",945726,948201,952085,951448,957735,956406,956023,955205,952532,948944,959521,953328,951252,915097,897972,169700,162600,157000,151700,150400,147200,146700,153200,159800,162500,165700,172400,168400,162100,145700
"Brown County, Wisconsin",264542,263378,262052,260401,258718,256670,254586,253032,251412,248506,247319,245018,243132,240213,231333,196100,180400,173400,166100,159500,157100,159200,159200,155900,159200,160400,160200,160200,155200,149400
"Anoka County, Minnesota",356921,353813,351373,345957,344151,341864,339534,336414,333140,331302,331582,327090,326252,327005,320803,262200,247000,229900,215200,205300,188300,178200,176600,185200,198000,219500,230000,232700,229700,219800
"Stanislaus County, California",550660,549815,547899,541560,538388,531997,525491,521726,518522,515358,510385,510694,511263,512138,497804,335400,318900,288200,274300,243500,216000,175000,159800,161900,176800,196800,276100,358500,371700,347100
"Ellis County, Texas",184826,179436,173620,168499,163632,159317,155976,153969,152753,150462,151737,148186,143468,139300,131480,230200,209000,190400,167300,167100,145900,137600,140900,141600,135200,135100,143500,127700,135600,122100
"Taylor County, Texas",138034,137640,136290,136535,136051,135143,134117,133473,132755,131896,127683,126791,126540,124927,118744,147300,130300,122100,108200,114300,110400,95800,101700,85300,98100,95800,94900,80700,75700,71000
"Kane County, Illinois",532403,534216,534667,531715,530847,527306,523643,522487,520271,516499,511892,507579,501021,493735,475683,247100,246000,237200,232700,229000,218000,201700,204700,219200,235100,244900,259400,250600,244400,229100
"Coconino County, Arizona",143476,142854,140776,140908,139097,137682,136539,136011,134511,134651,129849,128558,127450,124953,120776,317700,293800,277400,272000,228600,227500,204800,214300,202100,233800,242900,287900,288500,271900,213500
"Baltimore city, Maryland",593490,602495,611648,614664,621849,622793,622104,621342,619493,620583,637418,636919,637455,631366,608481,179100,167800,154400,153500,155600,150800,150000,150100,154400,166100,168400,169500,158400,126400,103400
"Madison County, Alabama",372909,366519,361046,356967,353089,350299,346892,343080,340111,335988,327744,319510,312734,304307,290875,193900,192500,182400,178200,177700,171600,162300,164600,162000,168200,160800,159700,150600,137900,134200
"Morris County, New Jersey",491845,494228,499693,498423,499509,499727,499397,497999,494976,492694,488518,487548,488475,493160,481139,481000,469900,462400,443100,433400,434700,414000,418100,420400,444100,458200,482700,504500,488900,463500
"Clay County, Florida",219252,216072,212230,208311,203967,199798,196399,194345,192370,191395,186756,184727,182023,178899,169528,214500,194800,177700,170300,166900,157900,145200,145100,154700,169700,175700,208300,200800,193100,153000
"St. Clair County, Alabama",89512,88690,88199,88019,87074,86697,86308,85237,84398,83761,81895,79577,76609,65096,72100,164600,172000,145300,155800,153000,128500,129300,137000,140300,129500,126900,116500,117300,120700,98200
"San Bernardino County, California",2180085,2171603,2157404,2140096,2128133,2112619,2088371,2081313,2065377,2042441,2017673,2015355,2007800,1999332,1916665,369900,353400,326600,302600,281300,261600,230500,206100,211500,221700,242000,331400,387000,378100,322400
"Albany County, New York",305506,307117,309612,308846,309381,308171,306945,305455,303565,303833,298284,298130,299307,297556,280570,235000,224300,227000,221500,209300,208200,206800,206900,207800,213300,215200,209700,197900,180500,160200
"Fairfield County, Connecticut",943332,943823,949921,944177,948053,945438,939904,933835,925899,918714,901208,895030,895015,900440,884050,444500,435000,425900,423200,420900,408900,420600,403400,440700,441400,460500,501900,499000,508100,475500
"Monterey County, California",434061,435594,437907,435232,433898,431344,428826,426762,421898,416682,410370,408238,407637,410206,389004,602900,563000,517200,481000,429100,391200,363800,318200,332300,381700,402700,535700,658700,685100,645700
"Escambia County, Florida",318316,315534,313512,315187,311003,310659,305817,302715,299114,298043,303343,302939,306407,295426,274663,173100,150700,143900,131000,124400,117800,116900,117500,121400,139300,148500,146500,148600,141000,123500
"East Baton Rouge Parish, Louisiana",440059,440956,446268,447037,446753,446042,445227,444526,441438,440909,434633,428360,430317,429073,396735,209200,200400,191200,180400,189800,170000,165900,169500,165500,166800,165000,160100,152100,140400,118800
"Orange County, Texas",83396,83572,85047,84964,84260,83433,82957,82977,82487,81930,81816,83022,82669,84243,83996,126900,119500,107100,105300,107100,96600,108700,94900,87300,81900,91200,82300,79700,73600,70300
"Lake County, Florida",367118,356495,346017,335396,325875,315690,308034,303186,301019,297950,312119,307243,301059,290435,273277,223800,204000,185200,163600,155100,141400,126800,127700,138900,153300,157700,187800,202800,195800,149000
"Pottawatomie County, Oklahoma",72592,72679,72226,72290,71875,71811,71158,70760,70280,69608,70274,69616,69038,68638,65077,133900,126400,118900,117500,105000,113600,94200,105200,98800,91700,91200,88900,93200,85300,85600
"Lee County, Mississippi",85436,85202,84933,85381,85300,85246,85340,85042,84156,83048,81913,81139,80349,79714,77438,145100,135300,132300,127000,135700,140000,113100,102500,106700,100600,114300,115200,110200,93900,93700
"Pierce County, Washington",904980,891299,876764,861312,843954,831928,819743,811681,807904,795628,796836,785639,773165,766878,731598,362100,338400,300200,271300,249600,237100,223300,218000,234500,252000,269100,283900,285100,255600,214500
"Bedford County, Virginia",78997,78747,77974,77960,77724,76583,69825,69590,69246,68735,67154,65805,67018,68043,64764,211900,205400,198900,200300,198500,202400,192700,202600,202800,194300,186600,202400,182300,163800,151900
"Linn County, Iowa",226706,225909,224115,221661,219916,217751,216111,215295,213875,211501,209226,208574,205836,201853,193749,166600,157200,157600,151700,149600,151000,145400,149300,144800,138800,143500,137400,135100,125400,121600
"Chelan County, Washington",77200,77036,76533,76338,75644,74588,73967,73687,73477,72735,72372,71540,70993,71034,68709,344700,320100,289900,259300,250500,236500,242500,245100,259200,265300,268300,267500,222000,199700,172100
"Sandoval County, New Mexico",146748,145179,142507,142025,139394,137608,136575,135588,134259,132330,125988,122298,117866,113772,106765,217900,216800,198800,180200,186200,168300,176700,176400,182200,174000,188700,190200,188700,166100,147200
"Fayette County, Georgia",114421,113459,112549,111627,110714,109664,108365,107524,107784,106945,106788,106465,106144,106671,103643,305300,293900,280600,277500,240500,238400,230300,217700,221100,234300,255700,274300,254700,243300,235900
"Pinellas County, Florida",974996,975280,970637,960730,949827,938098,929048,921319,917398,916719,909013,910260,917437,924413,905158,231400,215800,197300,186500,170500,150900,138000,142200,143600,154600,169100,194700,204700,205200,166200
"Charlotte County, Florida",188910,184998,182033,178465,173115,168474,164736,162449,160511,159990,156952,150060,152814,154438,154716,224600,206600,193600,180600,167300,146300,138000,131900,134200,147800,159300,192700,199100,220700,190500
"Rankin County, Mississippi",155271,153902,152080,150228,149039,148070,146767,145165,143702,142018,143124,140901,138362,135830,126569,170000,169300,160000,158800,155200,155300,151900,155300,145200,141800,145900,147700,142900,136900,121500
"Duval County, Florida",957755,950181,937934,926255,913010,897698,885855,879602,870709,865876,857040,850962,849159,837964,810698,207600,191500,185900,164300,153300,138700,136000,132300,146000,158700,171400,190800,185600,173700,148800
"Pulaski County, Arkansas",391911,392680,393956,393250,392664,392702,391284,388953,386299,383632,381904,376797,373911,367319,358234,157900,164700,156300,153800,153200,140200,141700,137900,146700,145100,131900,140000,134700,121800,114400
"Knox County, Tennessee",470313,465289,461860,456132,451324,448644,444622,441311,436929,433108,435725,430019,423874,411967,392382,202600,191300,180200,174100,168900,163100,161800,157400,153500,153400,156500,158600,147700,143500,126800
"Forsyth County, North Carolina",382295,379099,376320,371511,369019,365298,361220,358137,354952,351335,359638,343028,338774,332355,315856,170200,163200,156500,153200,151600,144900,149700,153800,151800,150500,149500,154700,146700,144800,135500
"Ventura County, California",846006,850967,854223,849738,850536,846178,839620,835981,831771,825706,802983,797740,798364,799720,782759,629600,614400,592500,561400,528700,483100,443700,413100,433100,458200,475900,566200,641300,648000,602700
"Forrest County, Mississippi",74897,75036,75471,75979,75944,76330,77059,76894,75842,75113,81078,79425,78241,76372,69608,116000,134200,131100,112400,108500,107400,112600,112800,117400,126400,120000,108600,101000,101100,82700
"Livingston County, Michigan",191995,191224,189651,188624,187316,185596,184443,182838,181722,180972,183118,182575,183194,184511,179897,274200,256800,251700,227900,224300,198100,185700,177900,176400,185200,197600,222300,232800,233600,241300
"Newton County, Georgia",111744,109541,108078,106999,105473,103675,102446,101505,100814,100086,99944,98542,96019,91451,85474,161300,165200,148500,142200,128000,112000,103300,111600,125100,134500,147200,163300,149400,150200,144400
"Washoe County, Nevada",471519,465735,460587,453616,446903,440078,433731,429908,425710,422528,414820,410443,406079,396428,384462,383400,363000,331200,299100,268400,233300,201700,176500,177400,215700,246100,311100,344800,356000,336000
"Henderson County, North Carolina",117417,116748,115708,114209,112655,111149,109540,108266,107927,106978,103669,102367,100810,99033,95381,252300,227900,211400,201700,191800,180900,181300,180800,185900,192600,204200,198100,192800,166000,155600
"Macomb County, Michigan",873972,874759,871375,867730,864840,860112,854769,847383,842145,841126,831427,830663,831077,832861,820599,188300,176100,166500,157700,149000,134900,117000,113000,118400,123000,140600,164600,171900,171200,169300
"Marion County, Indiana",964582,954670,950082,941229,939020,934243,928281,918977,911296,904878,890879,880380,876804,865504,844187,155300,142700,137400,128300,122400,117500,116300,117900,116200,118200,120900,125900,122500,123100,119000
"Moore County, North Carolina",100880,98682,97264,95776,94352,93077,91587,90302,89352,88569,87158,85608,84435,83162,79938,232500,222300,233800,217600,204900,191100,214300,206500,180000,196500,196000,187400,182800,155900,136200
"Cumberland County, Pennsylvania",253370,251423,250066,248506,246338,243762,241212,238614,237892,235861,232483,229361,228019,226117,208751,214200,208200,202300,200200,192700,191300,188400,187000,183900,177200,181900,183100,168400,163000,153200
"Thurston County, Washington",290536,286419,280588,275222,269536,265851,262388,258332,256591,253087,250979,245181,238555,234670,225469,333100,314900,283400,261700,244800,244100,237000,228300,244200,250200,261900,269100,267000,235600,203700
"Washington County, Minnesota",262440,259201,256348,253117,251597,249283,246603,244088,241280,238844,231958,229173,226475,225000,217021,318200,298400,288600,274600,266700,254400,230800,232300,228100,249000,263200,273500,282500,263400,263100
"Warren County, Ohio",234602,232173,228882,227063,224469,221659,219169,217241,214910,213192,210712,207353,204390,201871,190403,250300,237500,213500,216700,206000,188700,187100,191100,184500,186800,193700,200900,200900,191800,178000
"Kalamazoo County, Michigan",265066,264870,262985,261654,260263,258818,256725,254580,252074,250738,248407,245912,245333,240720,230457,171800,163900,158500,155500,148500,135700,127700,133800,137700,143800,146700,150000,152900,143400,138000
"Henry County, Georgia",234561,230220,225813,221768,217739,213869,211128,209053,207360,205265,195370,191502,186037,178033,166871,189300,185400,169600,174900,153300,139700,130600,132100,146000,158500,165300,182300,177800,168300,160800
"Clayton County, Georgia",292256,289615,285153,279462,273955,267542,264220,265888,261532,259623,275772,273718,272217,271240,264231,143600,116700,103500,94900,91200,85700,78200,83600,88800,109400,120200,134300,132000,133700,129300
"Bastrop County, Texas",88723,86976,84761,82733,80527,78069,75825,74763,75115,74403,74876,71776,67487,64544,61724,186700,171600,180900,182300,156900,126300,113500,117700,115600,125700,118600,135400,111000,117900,106900
"Jackson County, Oregon",220944,219564,217479,216527,212567,210287,208545,206412,204822,203462,201286,201138,199295,197071,191465,318900,293600,291600,259900,243500,222900,199800,199400,234200,236200,264200,285000,301800,289600,239300
"Wood County, Ohio",130817,130696,130492,130219,129730,129590,129264,128200,126355,125502,125380,125340,125399,124183,115904,172900,167400,172900,160200,156700,147500,147300,141900,151500,149500,157500,159100,152600,156000,141000
"Twin Falls County, Idaho",86878,86081,85124,83514,82375,80914,79957,78595,78005,77517,75296,75613,73086,75541,71334,193900,183900,162300,160500,139900,149100,146100,139500,158200,156600,148200,155300,141000,141400,116100
"Lehigh County, Pennsylvania",369318,368100,366494,363147,360685,357823,355092,355245,352947,350106,343519,339989,337343,335544,319993,221900,213400,211300,198800,196800,188600,187200,191900,194900,208900,207300,215300,203500,185100,161800
"Placer County, California",398329,393149,386166,380531,375391,371694,367309,361682,357138,350048,348552,341945,332920,326242,314135,534700,488400,468400,442300,407400,386200,352500,319300,321700,344100,369400,416700,483700,507900,492000
"Cabell County, West Virginia",91945,93224,94958,95987,96844,97109,97133,96974,96653,96378,95214,94631,94435,93904,90514,125900,120600,139700,126600,118500,113000,100000,109900,116700,104600,98400,93600,94100,94700,88600
"Johnston County, North Carolina",209339,202675,196708,191450,185660,181423,177967,174938,172595,169735,168525,163428,157437,152143,144621,202000,171300,159300,152700,147400,144300,145300,141000,148600,139200,138200,138500,129500,128400,120400
"Oakland County, Michigan",1257584,1259201,1250836,1243970,1242304,1237868,1231640,1220657,1210145,1203012,1205508,1202174,1206089,1214255,1200531,264100,258900,243800,224400,217400,192800,172200,166000,163900,166600,186800,218200,222700,232100,228500
"Dubuque County, Iowa",97311,96854,97041,97003,97125,96370,95697,95097,94648,93880,93072,92724,92359,92384,86626,171400,167100,167600,161600,161700,147200,146100,144700,146800,150100,142700,137400,131500,124000,117500
"Clay County, Missouri",249948,246365,242874,239085,235637,233682,230473,227577,225161,222718,228358,215707,211952,206957,199158,195800,186800,176100,166900,159300,153900,149800,150000,156100,150500,154800,157500,155600,148700,144400
"Missoula County, Montana",119600,118791,117441,116130,114181,112684,111807,110977,110138,109494,108623,107320,105650,101417,96467,308500,302100,295600,270300,246400,246800,242300,220700,243500,238800,244100,248300,226100,210200,204000
"Westchester County, New York",967506,967612,980244,974542,976396,972634,968802,961670,955899,950541,955962,953943,951325,949355,915916,559400,560800,547800,516500,514700,501100,493800,506200,518800,526000,544700,578900,582300,581600,541700
"Bradley County, Tennessee",108110,106727,105560,104490,104091,102975,101848,101134,100055,99078,97710,96472,95443,93538,90039,165300,166300,166100,147400,154000,137800,144100,133800,149000,131700,129500,140400,133200,123700,112500
"El Paso County, Texas",839238,840758,840410,837918,835593,833487,827718,827398,820790,804338,751296,742062,734669,736310,708319,125500,123900,122300,119700,114000,114900,111200,113200,114700,108200,109400,107900,98500,88000,78600
"Ouachita Parish, Louisiana",153279,154475,155874,156983,156761,156325,156220,155363,154919,153910,151502,150051,149502,149259,143857,149700,163500,151300,144000,130200,125900,130300,121200,115400,114900,112600,123200,104700,100200,89400
"New Castle County, Delaware",558753,559335,559793,556987,556779,552778,549684,546076,541971,538986,534634,529641,528218,525587,505271,272600,269800,255500,253000,250800,242000,241700,236400,244600,256700,260900,264700,252200,237600,218400
"Black Hawk County, Iowa",131228,132408,132648,132904,133455,132897,132546,131820,131549,131221,129276,128347,127446,126106,120313,158800,143900,153300,141800,140500,134700,127800,126500,126200,120900,123600,118100,121200,109100,100800
"Santa Rosa County, Florida",184313,179349,174272,170497,167040,163422,161096,158512,154104,151966,151759,150053,147044,144561,140650,221100,209000,192900,189100,169200,164000,156400,162500,159100,163500,173100,182700,186300,197400,164000
"Wyandotte County, Kansas",165429,165324,165288,163831,163369,161636,160384,159129,158224,157845,155085,154287,153956,155509,154158,104700,107200,108400,93300,89300,87200,90000,89600,89900,97400,100400,101200,98600,94600,86200
"Anne Arundel County, Maryland",579234,576031,573235,568346,564195,560133,555743,550488,544403,539198,521209,512790,512154,509300,494676,371500,371400,360200,359600,345900,336000,329300,320900,332800,343400,365400,373000,384200,379200,329500
"Sussex County, Delaware",234225,229286,225322,220251,215622,210849,206649,203390,200330,197871,192747,188036,184291,180288,173111,270700,254100,276800,254000,234400,221200,222500,226100,241700,240700,255700,248100,232200,223700,203400
"Cumberland County, Maine",295003,293557,292500,292041,289977,287797,285456,283921,282401,281457,278559,276047,275374,274598,264737,299400,294400,273400,270500,261300,257500,239800,240500,235100,246700,252300,254300,251600,245200,234300
"Virginia Beach city, Virginia",449974,450189,450435,452602,452745,450980,448479,447021,442707,439172,433575,433746,434743,435619,430856,296200,285400,282300,271400,262900,261800,259200,259500,264300,275100,279200,286200,282400,260300,231400
"Maury County, Tennessee",96387,94340,92163,89981,87757,85515,83761,81990,81509,81141,84302,81938,79966,78309,75054,210100,213300,188600,164100,148800,147000,142600,129300,142400,134400,135100,144000,135300,130300,117100
"El Paso County, Colorado",720403,713856,699232,688284,674471,663519,655044,644964,636963,626928,604542,596053,587272,576884,550130,325000,289500,272000,249200,232900,224100,210200,214600,213800,214300,217400,227000,215100,208200,191200
"Iberia Parish, Louisiana",69830,70941,72176,73273,74103,73913,73878,73999,73400,73236,75101,75097,74965,75509,72773,115600,128900,122600,116300,95800,101300,99400,94500,98900,104500,105700,106000,95500,79000,84400
"Essex County, Massachusetts",789034,790638,785205,779018,776043,769091,762550,755618,748930,744644,742582,736457,733101,735958,721625,465400,444700,405500,384400,374400,359500,346600,347800,339700,352900,361700,374500,385900,389800,382300
"Smith County, Texas",232751,230221,227727,225290,222936,218842,216080,214821,213381,210512,204665,201277,198705,194635,185465,167800,168300,155900,153100,145500,147000,127700,121100,120000,118800,118400,119600,120200,106100,99000
"Clark County, Indiana",118302,117360,116973,116031,115371,114262,112938,111951,111570,110610,108634,106673,105035,103569,100014,164200,154600,137200,136800,137500,129500,121400,126800,132100,132700,125700,123700,124400,121600,116300
"Berkeley County, West Virginia",119171,117123,114920,113525,111901,110497,108706,107098,105750,104641,103854,102044,99734,97534,92140,197800,177500,174000,174100,170600,161900,158200,154400,164100,173000,170800,193200,211400,212900,149500
"Tangipahoa Parish, Louisiana",134758,133777,132497,130710,128755,127049,125412,123441,122571,121425,118688,117001,115398,113137,103261,179800,162800,157500,175700,136700,131700,136300,129700,137200,124000,134600,151200,145100,116300,87400
"Solano County, California",447643,446610,445458,440207,436092,431131,424788,420757,416471,414305,407234,407515,408599,411680,395426,460500,442700,411700,377900,344900,304100,259800,234900,256400,262600,297300,388800,479500,489600,454600
"Platte County, Missouri",104418,102985,101187,98309,96096,94788,93310,92054,90903,89677,90688,85896,84881,83061,81241,241100,235200,219000,224200,197100,202800,188200,179200,188000,180700,188500,192100,190900,181500,180200
"Chesterfield County, Virginia",352802,348556,343599,339009,335687,332499,327745,323856,320277,317102,306670,303469,299689,296718,284956,261100,246800,240500,231600,221100,216900,206700,215700,225600,237400,244300,245800,233300,215700,179300
"Sacramento County, California",1552058,1540975,1530615,1514460,1501335,1482026,1462131,1450121,1436105,1421959,1400949,1394154,1386667,1374724,1337942,390200,376800,353400,326800,301200,273800,238000,213500,217000,240200,257800,312400,370600,389200,365500
"Madison County, Kentucky",92987,92368,91226,89547,87824,87340,85590,84786,84188,83157,83258,82192,81103,79015,72450,176400,161800,159700,153100,149000,149500,136300,144500,146500,144900,135200,146400,143000,138300,123900
"Roanoke city, Virginia",99143,99920,99837,99660,99897,99428,98465,97469,96714,96967,94482,92967,92600,91552,90074,147300,131400,136300,125500,134100,136500,131800,132300,125500,145800,127500,129900,122700,117700,102200
"Hamilton County, Tennessee",367804,364286,361613,357738,354098,351220,348673,345545,340855,337294,337175,332848,330168,312905,302475,219300,182100,177300,172800,164300,160400,155300,157800,154900,152100,148800,156300,146300,138200,127500
