NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Marshall County, Alabama",96774,96109,95548,95157,94725,94636,94760,94776,94166,93235,90399,88484,87644,87185,84662,135600,136200,121600,121700,122800,106400,117100,113000,121400,110100,99800,101400,98300,95400,93800
"Bucks County, Pennsylvania",628270,628195,628341,626399,627367,626685,626976,627053,626854,625472,626015,621643,621144,623205,612210,344300,338500,326700,322400,318600,311000,301300,305600,308900,308500,318500,335100,326800,330500,285800
"Cuyahoga County, Ohio",1235072,1243857,1248514,1249352,1255921,1259828,1263154,1265111,1270294,1278208,1275709,1283925,1295958,1314241,1305166,143100,139100,131700,126700,124400,120700,118800,122300,123300,132200,131200,140800,142000,138900,136500
"Lackawanna County, Pennsylvania",209674,210793,210761,211321,211917,212719,213931,214477,214166,214367,208801,209408,209330,209728,201201,158000,147900,153100,152000,145600,145900,146300,145000,145000,144900,143800,142400,134400,122800,113000
"Lake County, Illinois",696535,700832,703520,703047,703910,705186,703019,702120,706222,704596,712567,712453,710241,713076,684726,274400,269300,262600,264100,258100,247500,236600,237400,254200,268000,286100,296400,310700,281900,271700
"Josephine County, Oregon",87487,87393,86352,85904,84745,83599,83306,82930,82987,82807,81026,81618,81056,81688,79751,293100,281200,278000,251000,232700,213100,205800,222000,209800,219200,243000,258700,269500,268200,226000
"Adams County, Illinois",65435,65691,66234,66578,67013,66988,67130,67197,67159,67120,67054,66897,67046,67221,64273,123000,137800,128200,130500,117600,112300,108800,112500,98700,96800,101100,102700,97600,91700,89400
"Luzerne County, Pennsylvania",317417,317646,317343,316383,318449,318829,320103,321027,320651,320795,312845,311983,312265,313020,299279,125700,133600,125700,123400,123100,120300,125100,124000,118800,118800,117400,119300,111900,102800,96600
"Miami County, Ohio",106987,106222,105122,104679,104224,103900,103439,103060,102857,102461,101256,101085,101038,101914,100220,163600,160600,146700,149100,145400,135200,128200,141100,139400,135200,131000,147500,137200,139300,132900
"Lauderdale County, Alabama",92729,92387,92538,92318,92596,93096,92797,92542,92781,92679,89599,89128,88561,87891,85898,151500,157800,144800,139400,125300,114000,118600,131400,109400,110100,109300,106700,102100,104700,83700
"Indiana County, Pennsylvania",84073,84501,84953,86364,86966,87706,87745,88218,89298,88847,87450,87479,87690,88234,83256,123200,122100,120200,116400,104700,104000,95700,104400,114300,108000,90700,107600,98500,88000,79500
"New Haven County, Connecticut",854757,857620,860435,856875,859470,861277,862287,862813,861113,862989,848006,846101,845494,845244,817828,251500,251100,243400,247600,244400,242700,242000,242100,254200,269200,272500,283400,280200,265800,245600
"Clearfield County, Pennsylvania",79255,79388,79685,80596,80994,81191,81174,81184,81445,81562,82324,82896,81452,82442,79001,98900,99300,96600,94100,91500,87100,84500,86300,89900,90800,80600,85100,82000,82800,70500
"Licking County, Ohio",176862,175769,173448,172198,170570,169390,168375,167537,167248,166701,158488,157721,156985,156287,151499,194200,188900,169400,163400,157400,158600,146100,147000,149900,155100,152300,152600,153400,150800,146000
