NAME,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy,NAME
"Williamson County, Tennessee",0.106728337259889,25494.65030000001,0.5622919451652644,0.8251774374299589,0.2628854922646945,"Williamson County, Tennessee"
"Benton County, Arkansas",0.0932580225622634,25994.2009,0.5113865245922942,0.4725196288365453,-0.0388668957557488,"Benton County, Arkansas"
"Hamilton County, Indiana",0.0781570421434128,26505.667000000016,0.4140175616939212,0.5033522434244456,0.0893346817305244,"Hamilton County, Indiana"
"Douglas County, Colorado",0.0819516919619137,29113.52359999996,0.4105402691303474,0.5970695970695971,0.1865293279392496,"Douglas County, Colorado"
"St. Johns County, Florida",0.1228943898725292,31965.8664,0.6621471410179923,0.2470544918998527,-0.4150926491181396,"St. Johns County, Florida"
"Larimer County, Colorado",0.0873182301675679,32002.722299999965,0.3477702628706945,0.819402338674751,0.4716320758040564,"Larimer County, Colorado"
"Manatee County, Florida",0.0819322702719746,32561.28609999997,0.3404769502838831,0.2970391595033428,-0.0434377907805402,"Manatee County, Florida"
"Forsyth County, Georgia",0.1375593513941853,34132.62459999998,0.7508978430262149,0.4700889248181083,-0.2808089182081065,"Forsyth County, Georgia"
"Rutherford County, Tennessee",0.1026875012090198,34333.71240000002,0.5641799335322971,0.8486795146324054,0.2844995811001083,"Rutherford County, Tennessee"
"Charleston County, South Carolina",0.0810266463240594,34555.270499999984,0.2946659533624949,0.7159318637274549,0.42126591036496,"Charleston County, South Carolina"
"Horry County, South Carolina",0.1032080897309129,35867.011,0.5772895535153483,0.5011102886750555,-0.0761792648402928,"Horry County, South Carolina"
"Ada County, Idaho",0.0786341261722927,37375.610400000005,0.4324718242200164,0.995820895522388,0.5633490713023717,"Ada County, Idaho"
"Hays County, Texas",0.172025372031852,40284.85809999998,1.0011388333478224,0.7971887550200804,-0.203950078327742,"Hays County, Texas"
"Orleans Parish, Louisiana",0.1111039610217045,49063.13739999995,-0.107601798776722,0.8167539267015707,0.9243557254782928,"Orleans Parish, Louisiana"
"Osceola County, Florida",0.1370741371097033,51639.34850000002,0.6398744839264361,0.2386302835741038,-0.4012442003523323,"Osceola County, Florida"
"Loudoun County, Virginia",0.1200719890284072,51686.033,0.6241889620284983,0.0720338983050847,-0.5521550637234135,"Loudoun County, Virginia"
"District of Columbia, District of Columbia",0.0776042661239565,56736.88890000002,0.3700724882454117,0.6818418314255983,0.3117693431801865,"District of Columbia, District of Columbia"
"Lee County, Florida",0.0867967251132502,66917.62140000006,0.4293846932926727,0.0968175705961452,-0.3325671226965275,"Lee County, Florida"
"Montgomery County, Texas",0.1165989968486475,71344.16070000001,0.6151825151375744,0.9062049062049062,0.2910223910673318,"Montgomery County, Texas"
"Gwinnett County, Georgia",0.0792138315402639,77647.40759999992,0.3014353667927906,0.3687089715536105,0.0672736047608198,"Gwinnett County, Georgia"
"Williamson County, Texas",0.1316490300864946,77787.61199999996,0.7981523714987775,0.908455181182454,0.1103028096836764,"Williamson County, Texas"
"Denver County, Colorado",0.1023225130214984,78405.2903,0.3338475196167264,0.9297110823630876,0.5958635627463611,"Denver County, Colorado"
"Mecklenburg County, North Carolina",0.0896887061443496,102813.3600000001,0.4224063498407672,0.6306306306306306,0.2082242807898634,"Mecklenburg County, North Carolina"
"Wake County, North Carolina",0.0915652691916884,103949.40399999986,0.5226724263084512,0.6673684210526316,0.1446959947441803,"Wake County, North Carolina"
"Denton County, Texas",0.1239552322261689,111170.65559999994,0.6293646960300159,0.919975565058033,0.2906108690280171,"Denton County, Texas"
"Collin County, Texas",0.1129511613029593,117567.80000000005,0.5773467440250978,0.910955207771182,0.3336084637460841,"Collin County, Texas"
"Fort Bend County, Texas",0.1429312508123821,120132.68180000002,0.7752485100333534,0.8654474199869366,0.0901989099535832,"Fort Bend County, Texas"
"Orange County, Florida",0.0900975753063354,128121.517,0.3894933334928788,0.3209509658246657,-0.068542367668213,"Orange County, Florida"
"Travis County, Texas",0.1085020593064626,144594.20200000005,0.4704859127210858,1.1174751607247224,0.6469892480036366,"Travis County, Texas"
"Bexar County, Texas",0.0773713881452524,160191.77699999977,0.3513804820996656,0.9734607218683652,0.6220802397686995,"Bexar County, Texas"
